,match,BowlingTeam,bowling_pos,bowlerName,O,M,R,W,ECON,0s,4s,6s,WD,NB
9729,Royal Challengers Bangalore vs Sunrisers Hyderabad,Sunrisers Hyderabad,1,Bhuvneshwar Kumar,4,0,30,1,7.50,10,5,0,1,0
9730,Royal Challengers Bangalore vs Sunrisers Hyderabad,Sunrisers Hyderabad,2,Jason Holder,4,0,30,3,7.50,13,2,1,4,0
9731,Royal Challengers Bangalore vs Sunrisers Hyderabad,Sunrisers Hyderabad,3,Shahbaz Nadeem,4,0,36,1,9.00,9,2,3,0,0
9732,Royal Challengers Bangalore vs Sunrisers Hyderabad,Sunrisers Hyderabad,4,T Natarajan,4,0,32,1,8.00,7,4,0,1,0
9733,Royal Challengers Bangalore vs Sunrisers Hyderabad,Sunrisers Hyderabad,5,Rashid Khan,4,0,18,2,4.50,10,1,0,1,0
9734,Royal Challengers Bangalore vs Sunrisers Hyderabad,Royal Challengers Bangalore,1,Mohammed Siraj,4,1,25,2,6.25,14,2,1,1,0
9735,Royal Challengers Bangalore vs Sunrisers Hyderabad,Royal Challengers Bangalore,2,Kyle Jamieson,3,0,30,1,10.00,9,3,2,1,0
9736,Royal Challengers Bangalore vs Sunrisers Hyderabad,Royal Challengers Bangalore,3,Washington Sundar,2,0,14,0,7.00,7,1,1,1,0
9737,Royal Challengers Bangalore vs Sunrisers Hyderabad,Royal Challengers Bangalore,4,Yuzvendra Chahal,4,0,29,0,7.25,9,3,0,1,0
9738,Royal Challengers Bangalore vs Sunrisers Hyderabad,Royal Challengers Bangalore,5,Harshal Patel,4,0,25,2,6.25,10,2,0,0,2
9739,Royal Challengers Bangalore vs Sunrisers Hyderabad,Royal Challengers Bangalore,6,Dan Christian,1,0,7,0,7.00,1,0,0,0,0
9740,Royal Challengers Bangalore vs Sunrisers Hyderabad,Royal Challengers Bangalore,7,Shahbaz Ahmed,2,0,7,3,3.50,6,0,0,0,0
9741,Delhi Capitals vs Rajasthan Royals,Rajasthan Royals,1,Chetan Sakariya,4,0,33,0,8.25,5,4,0,0,0
9742,Delhi Capitals vs Rajasthan Royals,Rajasthan Royals,2,Jaydev Unadkat,4,0,15,3,3.75,15,2,0,0,0
9743,Delhi Capitals vs Rajasthan Royals,Rajasthan Royals,3,Chris Morris,3,0,27,1,9.00,7,4,0,1,0
9744,Delhi Capitals vs Rajasthan Royals,Rajasthan Royals,4,Mustafizur Rahman,4,0,29,2,7.25,11,4,0,2,0
9745,Delhi Capitals vs Rajasthan Royals,Rajasthan Royals,5,Riyan Parag,2,0,16,0,8.00,3,2,0,1,0
9746,Delhi Capitals vs Rajasthan Royals,Rajasthan Royals,6,Rahul Tewatia,3,0,27,0,9.00,6,4,0,0,0
