,match,BowlingTeam,bowling_pos,bowlerName,O,M,R,W,ECON,0s,4s,6s,WD,NB
0,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,1,Praveen Kumar,4,0,38,0,9.50,13,3,3,1,0
1,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,2,Zaheer Khan,4,0,38,1,9.50,8,3,2,0,0
2,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,3,Ashley Noffke,4,0,40,1,10.00,7,2,2,1,0
3,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,4,Jacques Kallis,4,0,48,1,12.00,9,5,3,1,0
4,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,5,Sunil Joshi,3,0,26,0,8.66,4,0,2,0,0
5,Kolkata Knight Riders vs Royal Challengers Bangalore,Royal Challengers Bangalore,6,Cameron White,1,0,24,0,24.00,0,2,2,1,0
6,Kolkata Knight Riders vs Royal Challengers Bangalore,Kolkata Knight Riders,1,Ashok Dinda,3,0,9,2,3.00,11,0,0,2,0
7,Kolkata Knight Riders vs Royal Challengers Bangalore,Kolkata Knight Riders,2,Ishant Sharma,3,0,7,1,2.33,13,0,0,1,0
8,Kolkata Knight Riders vs Royal Challengers Bangalore,Kolkata Knight Riders,3,Ajit Agarkar,4,0,25,3,6.25,15,2,1,4,0
9,Kolkata Knight Riders vs Royal Challengers Bangalore,Kolkata Knight Riders,4,Sourav Ganguly,4,0,21,2,5.25,13,1,1,1,0
10,Kolkata Knight Riders vs Royal Challengers Bangalore,Kolkata Knight Riders,5,Laxmi Shukla,1.1,0,12,1,10.28,3,0,1,2,0
11,Chennai Super Kings vs Kings XI Punjab,Kings XI Punjab,1,Brett Lee,4,0,35,1,8.75,12,5,1,0,1
12,Chennai Super Kings vs Kings XI Punjab,Kings XI Punjab,2,Sreesanth,3,0,35,0,11.66,5,5,1,1,0
13,Chennai Super Kings vs Kings XI Punjab,Kings XI Punjab,3,James Hopes,4,0,53,1,13.25,8,2,6,0,0
14,Chennai Super Kings vs Kings XI Punjab,Kings XI Punjab,4,Irfan Pathan,4,0,47,2,11.75,6,4,3,0,0
15,Chennai Super Kings vs Kings XI Punjab,Kings XI Punjab,5,Karan Goel,2,0,25,0,12.50,2,1,2,0,0
16,Chennai Super Kings vs Kings XI Punjab,Kings XI Punjab,6,Piyush Chawla,1,0,19,0,19.00,1,1,2,0,0
17,Chennai Super Kings vs Kings XI Punjab,Kings XI Punjab,7,Wilkin Mota,2,0,24,1,12.00,2,2,1,2,0
18,Chennai Super Kings vs Kings XI Punjab,Chennai Super Kings,1,Jacob Oram,4,0,37,0,9.25,6,6,0,0,0
19,Chennai Super Kings vs Kings XI Punjab,Chennai Super Kings,2,Manpreet Gony,4,0,42,1,10.50,7,2,3,2,0
20,Chennai Super Kings vs Kings XI Punjab,Chennai Super Kings,3,Muthiah Muralidaran,4,0,33,1,8.25,7,1,2,1,0
21,Chennai Super Kings vs Kings XI Punjab,Chennai Super Kings,4,Palani Amarnath,4,0,42,1,10.50,4,5,1,0,0
22,Chennai Super Kings vs Kings XI Punjab,Chennai Super Kings,5,Joginder Sharma,4,0,47,1,11.75,5,4,3,1,0
23,Rajasthan Royals vs Delhi Daredevils,Delhi Daredevils,1,Glenn McGrath,4,1,21,1,5.25,16,2,1,1,0
24,Rajasthan Royals vs Delhi Daredevils,Delhi Daredevils,2,Brett Geeves,4,0,41,0,10.25,8,7,0,0,0
25,Rajasthan Royals vs Delhi Daredevils,Delhi Daredevils,3,Farveez Maharoof,4,0,11,2,2.75,13,0,0,0,0
26,Rajasthan Royals vs Delhi Daredevils,Delhi Daredevils,4,Rajat Bhatia,4,0,17,2,4.25,13,1,0,1,0
27,Rajasthan Royals vs Delhi Daredevils,Delhi Daredevils,5,Daniel Vettori,4,0,35,1,8.75,8,3,2,0,0
28,Rajasthan Royals vs Delhi Daredevils,Rajasthan Royals,1,Munaf Patel,3,0,25,0,8.33,10,4,1,0,0
29,Rajasthan Royals vs Delhi Daredevils,Rajasthan Royals,2,Shane Watson,4,0,31,1,7.75,9,5,0,1,0
30,Rajasthan Royals vs Delhi Daredevils,Rajasthan Royals,3,Siddharth Trivedi,3,0,32,0,10.66,6,5,0,3,0
31,Rajasthan Royals vs Delhi Daredevils,Rajasthan Royals,4,Shane Warne,2,0,16,0,8.00,2,2,0,0,0
32,Rajasthan Royals vs Delhi Daredevils,Rajasthan Royals,5,Yusuf Pathan,2.1,0,17,0,7.84,4,2,0,1,0
33,Rajasthan Royals vs Delhi Daredevils,Rajasthan Royals,6,Dinesh Salunkhe,1,0,11,0,11.00,0,0,0,1,0
34,Deccan Chargers vs Kolkata Knight Riders,Kolkata Knight Riders,1,Ashok Dinda,3,0,18,1,6.00,9,1,0,0,1
35,Deccan Chargers vs Kolkata Knight Riders,Kolkata Knight Riders,2,Ishant Sharma,3,1,9,1,3.00,13,0,0,3,0
36,Deccan Chargers vs Kolkata Knight Riders,Kolkata Knight Riders,3,Ajit Agarkar,2,0,19,2,9.50,6,1,2,0,0
37,Deccan Chargers vs Kolkata Knight Riders,Kolkata Knight Riders,4,Murali Kartik,3.4,0,17,3,4.63,14,3,0,0,0
38,Deccan Chargers vs Kolkata Knight Riders,Kolkata Knight Riders,5,Mohammad Hafeez,4,0,8,1,2.00,17,0,0,0,1
39,Deccan Chargers vs Kolkata Knight Riders,Kolkata Knight Riders,6,David Hussey,3,0,35,1,11.66,7,1,4,1,0
40,Deccan Chargers vs Kolkata Knight Riders,Deccan Chargers,1,Chaminda Vaas,3,0,9,2,3.00,12,1,0,0,0
41,Deccan Chargers vs Kolkata Knight Riders,Deccan Chargers,2,RP Singh,3,0,15,1,5.00,10,2,0,0,0
42,Deccan Chargers vs Kolkata Knight Riders,Deccan Chargers,3,Scott Styris,4,0,19,0,4.75,15,1,1,1,0
43,Deccan Chargers vs Kolkata Knight Riders,Deccan Chargers,4,Sanjay Bangar,3,0,19,0,6.33,13,1,1,2,0
44,Deccan Chargers vs Kolkata Knight Riders,Deccan Chargers,5,Andrew Symonds,2,0,20,0,10.00,4,0,1,2,1
45,Deccan Chargers vs Kolkata Knight Riders,Deccan Chargers,6,Pragyan Ojha,4,0,18,2,4.50,13,0,1,2,0
46,Mumbai Indians vs Royal Challengers Bangalore,Royal Challengers Bangalore,1,Praveen Kumar,4,0,29,1,7.25,11,3,1,1,0
47,Mumbai Indians vs Royal Challengers Bangalore,Royal Challengers Bangalore,2,Zaheer Khan,4,0,17,2,4.25,14,2,0,0,0
48,Mumbai Indians vs Royal Challengers Bangalore,Royal Challengers Bangalore,3,Jacques Kallis,3,0,43,0,14.33,3,7,1,2,0
49,Mumbai Indians vs Royal Challengers Bangalore,Royal Challengers Bangalore,4,Vinay Kumar,4,0,41,0,10.25,9,3,3,0,0
50,Mumbai Indians vs Royal Challengers Bangalore,Royal Challengers Bangalore,5,Balachandra Akhil,3,0,17,2,5.66,8,2,0,0,0
51,Mumbai Indians vs Royal Challengers Bangalore,Royal Challengers Bangalore,6,Sunil Joshi,2,0,10,0,5.00,5,1,0,0,0
52,Mumbai Indians vs Royal Challengers Bangalore,Mumbai Indians,1,Ashish Nehra,4,0,45,1,11.25,7,5,2,2,0
53,Mumbai Indians vs Royal Challengers Bangalore,Mumbai Indians,2,Shaun Pollock,4,0,17,0,4.25,10,1,0,0,0
54,Mumbai Indians vs Royal Challengers Bangalore,Mumbai Indians,3,Dhawal Kulkarni,2.4,0,19,1,7.12,8,3,0,2,0
55,Mumbai Indians vs Royal Challengers Bangalore,Mumbai Indians,4,Sanath Jayasuriya,4,0,39,1,9.75,3,2,2,0,0
56,Mumbai Indians vs Royal Challengers Bangalore,Mumbai Indians,5,Harbhajan Singh,4,0,36,2,9.00,6,2,2,1,0
57,Mumbai Indians vs Royal Challengers Bangalore,Mumbai Indians,6,Abhishek Nayar,1,0,10,0,10.00,2,2,0,0,0
58,Kings XI Punjab vs Rajasthan Royals,Rajasthan Royals,1,Munaf Patel,4,0,36,1,9.00,12,4,2,0,0
59,Kings XI Punjab vs Rajasthan Royals,Rajasthan Royals,2,Shane Watson,4,0,39,0,9.75,12,8,0,0,1
60,Kings XI Punjab vs Rajasthan Royals,Rajasthan Royals,3,Siddharth Trivedi,4,0,25,2,6.25,12,2,1,0,0
61,Kings XI Punjab vs Rajasthan Royals,Rajasthan Royals,4,Shane Warne,4,0,19,3,4.75,11,0,1,0,0
62,Kings XI Punjab vs Rajasthan Royals,Rajasthan Royals,5,Dinesh Salunkhe,2,0,21,1,10.50,5,2,1,2,0
63,Kings XI Punjab vs Rajasthan Royals,Rajasthan Royals,6,Pankaj Singh,1,0,12,0,12.00,0,2,0,0,0
64,Kings XI Punjab vs Rajasthan Royals,Rajasthan Royals,7,Yusuf Pathan,1,0,13,0,13.00,3,0,2,0,0
65,Kings XI Punjab vs Rajasthan Royals,Kings XI Punjab,1,Brett Lee,4,0,35,1,8.75,13,5,1,0,2
66,Kings XI Punjab vs Rajasthan Royals,Kings XI Punjab,2,Sreesanth,3.1,0,38,1,12.00,9,5,1,3,2
67,Kings XI Punjab vs Rajasthan Royals,Kings XI Punjab,3,James Hopes,4,0,33,1,8.25,11,2,2,1,0
68,Kings XI Punjab vs Rajasthan Royals,Kings XI Punjab,4,Irfan Pathan,4,0,21,1,5.25,11,2,0,2,0
69,Kings XI Punjab vs Rajasthan Royals,Kings XI Punjab,5,Piyush Chawla,2,0,27,0,13.50,4,3,2,0,0
70,Kings XI Punjab vs Rajasthan Royals,Kings XI Punjab,6,Wilkin Mota,1,0,12,0,12.00,1,0,1,0,0
71,Deccan Chargers vs Delhi Daredevils,Delhi Daredevils,1,Glenn McGrath,4,1,22,0,5.50,16,4,0,0,0
72,Deccan Chargers vs Delhi Daredevils,Delhi Daredevils,2,Mohammad Asif,4,0,19,2,4.75,17,0,2,0,0
73,Deccan Chargers vs Delhi Daredevils,Delhi Daredevils,3,Farveez Maharoof,4,0,36,2,9.00,10,3,2,1,0
74,Deccan Chargers vs Delhi Daredevils,Delhi Daredevils,4,Yo Mahesh,4,0,35,1,8.75,7,3,1,0,1
75,Deccan Chargers vs Delhi Daredevils,Delhi Daredevils,5,Rajat Bhatia,4,0,27,2,6.75,9,2,1,0,0
76,Deccan Chargers vs Delhi Daredevils,Deccan Chargers,1,Chaminda Vaas,3,0,22,0,7.33,7,3,0,1,0
77,Deccan Chargers vs Delhi Daredevils,Deccan Chargers,2,RP Singh,3,0,27,1,9.00,7,5,0,1,0
78,Deccan Chargers vs Delhi Daredevils,Deccan Chargers,3,Sanjay Bangar,2,0,30,0,15.00,3,3,2,1,0
79,Deccan Chargers vs Delhi Daredevils,Deccan Chargers,4,Shahid Afridi,2,0,17,0,8.50,3,0,1,0,0
80,Deccan Chargers vs Delhi Daredevils,Deccan Chargers,5,Andrew Symonds,2,0,35,0,17.50,4,4,3,0,0
81,Deccan Chargers vs Delhi Daredevils,Deccan Chargers,6,Pragyan Ojha,1,0,7,0,7.00,3,0,0,2,0
82,Chennai Super Kings vs Mumbai Indians,Mumbai Indians,1,Shaun Pollock,3,0,32,0,10.66,8,5,1,1,0
83,Chennai Super Kings vs Mumbai Indians,Mumbai Indians,2,Ashish Nehra,4,0,35,1,8.75,12,6,0,2,1
84,Chennai Super Kings vs Mumbai Indians,Mumbai Indians,3,Dhawal Kulkarni,3,0,25,1,8.33,7,4,0,0,1
85,Chennai Super Kings vs Mumbai Indians,Mumbai Indians,4,Harbhajan Singh,2,0,14,0,7.00,3,0,1,0,0
86,Chennai Super Kings vs Mumbai Indians,Mumbai Indians,5,Dwayne Bravo,3,0,36,0,12.00,4,5,1,1,0
87,Chennai Super Kings vs Mumbai Indians,Mumbai Indians,6,Vikrant Yeligati,1,0,16,0,16.00,1,2,0,1,0
88,Chennai Super Kings vs Mumbai Indians,Mumbai Indians,7,Abhishek Nayar,1,0,14,0,14.00,2,0,2,0,0
89,Chennai Super Kings vs Mumbai Indians,Mumbai Indians,8,Musavir Khote,3,0,29,2,9.66,4,2,1,0,0
90,Chennai Super Kings vs Mumbai Indians,Chennai Super Kings,1,Jacob Oram,4,0,53,0,13.25,7,6,3,2,0
91,Chennai Super Kings vs Mumbai Indians,Chennai Super Kings,2,Manpreet Gony,4,1,18,1,4.50,14,2,0,0,1
92,Chennai Super Kings vs Mumbai Indians,Chennai Super Kings,3,Joginder Sharma,4,0,29,2,7.25,8,3,0,0,1
93,Chennai Super Kings vs Mumbai Indians,Chennai Super Kings,4,Palani Amarnath,4,0,57,1,14.25,6,6,3,0,0
94,Chennai Super Kings vs Mumbai Indians,Chennai Super Kings,5,Muthiah Muralidaran,4,0,40,2,10.00,5,2,2,4,0
95,Deccan Chargers vs Rajasthan Royals,Rajasthan Royals,1,Munaf Patel,4,0,55,0,13.75,7,11,0,2,0
96,Deccan Chargers vs Rajasthan Royals,Rajasthan Royals,2,Shane Watson,4,0,32,1,8.00,13,6,0,2,0
97,Deccan Chargers vs Rajasthan Royals,Rajasthan Royals,3,Yusuf Pathan,2,0,20,2,10.00,6,1,2,0,0
98,Deccan Chargers vs Rajasthan Royals,Rajasthan Royals,4,Pankaj Singh,2,0,14,0,7.00,4,0,1,0,0
99,Deccan Chargers vs Rajasthan Royals,Rajasthan Royals,5,Siddharth Trivedi,3,0,37,0,12.33,2,3,2,0,1
100,Deccan Chargers vs Rajasthan Royals,Rajasthan Royals,6,Shane Warne,4,0,47,2,11.75,3,3,3,1,0
101,Deccan Chargers vs Rajasthan Royals,Rajasthan Royals,7,Dinesh Salunkhe,1,0,9,0,9.00,2,0,1,0,0
102,Deccan Chargers vs Rajasthan Royals,Deccan Chargers,1,Chaminda Vaas,4,0,42,1,10.50,8,5,2,0,0
103,Deccan Chargers vs Rajasthan Royals,Deccan Chargers,2,RP Singh,4,0,44,1,11.00,10,4,3,1,1
104,Deccan Chargers vs Rajasthan Royals,Deccan Chargers,3,Pragyan Ojha,2,0,23,0,11.50,3,3,1,0,0
105,Deccan Chargers vs Rajasthan Royals,Deccan Chargers,4,Doddapaneni Kalyankrishna,3,0,30,1,10.00,4,2,2,0,0
106,Deccan Chargers vs Rajasthan Royals,Deccan Chargers,5,Shahid Afridi,4,0,28,3,7.00,9,2,1,1,0
107,Deccan Chargers vs Rajasthan Royals,Deccan Chargers,6,Andrew Symonds,2.5,0,46,0,16.23,3,2,5,0,0
108,Kings XI Punjab vs Mumbai Indians,Mumbai Indians,1,Shaun Pollock,4,0,40,1,10.00,8,5,1,1,0
109,Kings XI Punjab vs Mumbai Indians,Mumbai Indians,2,Ashish Nehra,3,0,22,2,7.33,7,2,0,0,0
110,Kings XI Punjab vs Mumbai Indians,Mumbai Indians,3,Dhawal Kulkarni,4,0,37,2,9.25,10,3,2,1,1
111,Kings XI Punjab vs Mumbai Indians,Mumbai Indians,4,Harbhajan Singh,4,0,32,3,8.00,9,4,0,1,0
112,Kings XI Punjab vs Mumbai Indians,Mumbai Indians,5,Dwayne Bravo,3,0,27,0,9.00,6,2,1,0,0
113,Kings XI Punjab vs Mumbai Indians,Mumbai Indians,6,Musavir Khote,2,0,22,0,11.00,2,2,1,0,0
114,Kings XI Punjab vs Mumbai Indians,Kings XI Punjab,1,Brett Lee,4,0,9,1,2.25,18,1,0,0,0
115,Kings XI Punjab vs Mumbai Indians,Kings XI Punjab,2,Irfan Pathan,4,1,19,2,4.75,15,1,1,2,0
116,Kings XI Punjab vs Mumbai Indians,Kings XI Punjab,3,Vikram Singh,4,0,40,1,10.00,10,5,2,1,0
117,Kings XI Punjab vs Mumbai Indians,Kings XI Punjab,4,Sreesanth,4,0,31,2,7.75,12,3,1,0,2
118,Kings XI Punjab vs Mumbai Indians,Kings XI Punjab,5,Piyush Chawla,4,0,16,2,4.00,15,2,0,1,0
119,Kolkata Knight Riders vs Chennai Super Kings,Chennai Super Kings,1,Jacob Oram,4,0,32,3,8.00,9,3,1,0,0
120,Kolkata Knight Riders vs Chennai Super Kings,Chennai Super Kings,2,Manpreet Gony,4,0,40,2,10.00,9,4,2,0,1
121,Kolkata Knight Riders vs Chennai Super Kings,Chennai Super Kings,3,Palani Amarnath,4,0,29,2,7.25,11,5,0,0,0
122,Kolkata Knight Riders vs Chennai Super Kings,Chennai Super Kings,4,Muthiah Muralidaran,4,0,12,0,3.00,15,0,0,3,0
123,Kolkata Knight Riders vs Chennai Super Kings,Chennai Super Kings,5,Joginder Sharma,4,0,32,1,8.00,7,2,1,1,1
124,Kolkata Knight Riders vs Chennai Super Kings,Kolkata Knight Riders,1,Ashok Dinda,3,0,25,0,8.33,11,4,0,2,0
125,Kolkata Knight Riders vs Chennai Super Kings,Kolkata Knight Riders,2,Ishant Sharma,3,0,26,0,8.66,10,1,1,1,1
126,Kolkata Knight Riders vs Chennai Super Kings,Kolkata Knight Riders,3,Ajit Agarkar,3,0,19,1,6.33,9,3,0,0,0
127,Kolkata Knight Riders vs Chennai Super Kings,Kolkata Knight Riders,4,David Hussey,1,0,10,0,10.00,2,0,1,0,0
128,Kolkata Knight Riders vs Chennai Super Kings,Kolkata Knight Riders,5,Mohammad Hafeez,2,0,16,0,8.00,2,0,1,1,0
129,Kolkata Knight Riders vs Chennai Super Kings,Kolkata Knight Riders,6,Murali Kartik,3,0,33,0,11.00,2,2,2,0,0
130,Kolkata Knight Riders vs Chennai Super Kings,Kolkata Knight Riders,7,Laxmi Shukla,2,0,18,0,9.00,3,2,0,0,0
131,Royal Challengers Bangalore vs Rajasthan Royals,Rajasthan Royals,1,Shane Watson,4,0,20,2,5.00,15,3,0,0,1
132,Royal Challengers Bangalore vs Rajasthan Royals,Rajasthan Royals,2,Sohail Tanvir,4,0,31,0,7.75,14,3,2,1,0
133,Royal Challengers Bangalore vs Rajasthan Royals,Rajasthan Royals,3,Munaf Patel,3,0,20,2,6.66,9,2,1,0,0
134,Royal Challengers Bangalore vs Rajasthan Royals,Rajasthan Royals,4,Siddharth Trivedi,4,0,29,1,7.25,12,3,1,2,0
135,Royal Challengers Bangalore vs Rajasthan Royals,Rajasthan Royals,5,Shane Warne,4,1,23,1,5.75,15,1,2,0,0
136,Royal Challengers Bangalore vs Rajasthan Royals,Rajasthan Royals,6,Yusuf Pathan,1,0,10,0,10.00,1,0,1,0,0
137,Royal Challengers Bangalore vs Rajasthan Royals,Royal Challengers Bangalore,1,Praveen Kumar,3,0,42,1,14.00,5,8,1,0,0
138,Royal Challengers Bangalore vs Rajasthan Royals,Royal Challengers Bangalore,2,Zaheer Khan,4,0,24,1,6.00,15,5,0,0,0
139,Royal Challengers Bangalore vs Rajasthan Royals,Royal Challengers Bangalore,3,Vinay Kumar,2,0,15,0,7.50,4,2,0,1,0
140,Royal Challengers Bangalore vs Rajasthan Royals,Royal Challengers Bangalore,4,Anil Kumble,4,0,22,0,5.50,10,2,0,1,0
141,Royal Challengers Bangalore vs Rajasthan Royals,Royal Challengers Bangalore,5,Jacques Kallis,1,0,7,0,7.00,2,1,0,0,0
142,Royal Challengers Bangalore vs Rajasthan Royals,Royal Challengers Bangalore,6,Sunil Joshi,3.1,0,27,1,8.52,9,4,1,0,0
143,Delhi Daredevils vs Kings XI Punjab,Kings XI Punjab,1,Brett Lee,4,0,33,1,8.25,7,5,0,0,0
144,Delhi Daredevils vs Kings XI Punjab,Kings XI Punjab,2,Irfan Pathan,4,0,26,2,6.50,8,2,0,3,0
145,Delhi Daredevils vs Kings XI Punjab,Kings XI Punjab,3,Sreesanth,2,0,25,0,12.50,2,3,1,0,0
146,Delhi Daredevils vs Kings XI Punjab,Kings XI Punjab,4,Vikram Singh,4,0,29,3,7.25,10,4,0,0,0
147,Delhi Daredevils vs Kings XI Punjab,Kings XI Punjab,5,Piyush Chawla,4,0,29,0,7.25,12,3,1,1,0
148,Delhi Daredevils vs Kings XI Punjab,Kings XI Punjab,6,Yuvraj Singh,2,0,11,1,5.50,5,1,0,1,0
149,Delhi Daredevils vs Kings XI Punjab,Delhi Daredevils,1,Glenn McGrath,4,0,29,1,7.25,12,4,1,0,0
150,Delhi Daredevils vs Kings XI Punjab,Delhi Daredevils,2,Mohammad Asif,4,0,39,2,9.75,11,7,0,0,1
151,Delhi Daredevils vs Kings XI Punjab,Delhi Daredevils,3,Farveez Maharoof,3,0,31,0,10.33,7,4,1,1,0
152,Delhi Daredevils vs Kings XI Punjab,Delhi Daredevils,4,Yo Mahesh,4,0,23,1,5.75,9,2,0,0,0
153,Delhi Daredevils vs Kings XI Punjab,Delhi Daredevils,5,Shoaib Malik,3.3,0,32,1,9.14,8,2,1,2,1
154,Delhi Daredevils vs Kings XI Punjab,Delhi Daredevils,6,Rajat Bhatia,1,0,5,0,5.00,2,0,0,1,0
155,Mumbai Indians vs Deccan Chargers,Deccan Chargers,1,RP Singh,4,1,15,2,3.75,18,2,0,2,0
156,Mumbai Indians vs Deccan Chargers,Deccan Chargers,2,Nuwan Zoysa,4,0,30,1,7.50,11,3,1,1,1
157,Mumbai Indians vs Deccan Chargers,Deccan Chargers,3,Sanjay Bangar,4,0,34,2,8.50,9,4,1,0,0
158,Mumbai Indians vs Deccan Chargers,Deccan Chargers,4,Shahid Afridi,4,0,32,2,8.00,11,1,2,0,1
159,Mumbai Indians vs Deccan Chargers,Deccan Chargers,5,Pragyan Ojha,2,0,14,0,7.00,4,2,0,0,0
160,Mumbai Indians vs Deccan Chargers,Deccan Chargers,6,Doddapaneni Kalyankrishna,2,0,23,0,11.50,2,2,1,0,0
161,Mumbai Indians vs Deccan Chargers,Mumbai Indians,1,Ashish Nehra,2,0,19,0,9.50,5,4,0,0,0
162,Mumbai Indians vs Deccan Chargers,Mumbai Indians,2,Shaun Pollock,2,0,33,0,16.50,3,3,3,0,0
163,Mumbai Indians vs Deccan Chargers,Mumbai Indians,3,Dhawal Kulkarni,1,0,8,0,8.00,4,2,0,0,0
164,Mumbai Indians vs Deccan Chargers,Mumbai Indians,4,Sanath Jayasuriya,2,0,17,0,8.50,4,1,1,0,0
165,Mumbai Indians vs Deccan Chargers,Mumbai Indians,5,Siddharth Chitnis,2,0,20,0,10.00,4,2,1,1,0
166,Mumbai Indians vs Deccan Chargers,Mumbai Indians,6,Dwayne Bravo,2,0,31,0,15.50,3,1,3,2,0
167,Mumbai Indians vs Deccan Chargers,Mumbai Indians,7,Abhishek Nayar,1,0,22,0,22.00,0,0,3,1,0
168,Chennai Super Kings vs Royal Challengers Bangalore,Royal Challengers Bangalore,1,Dale Steyn,4,0,40,0,10.00,11,6,1,3,0
169,Chennai Super Kings vs Royal Challengers Bangalore,Royal Challengers Bangalore,2,Zaheer Khan,4,0,38,3,9.50,12,7,1,0,0
170,Chennai Super Kings vs Royal Challengers Bangalore,Royal Challengers Bangalore,3,Praveen Kumar,4,0,29,1,7.25,8,1,2,0,0
171,Chennai Super Kings vs Royal Challengers Bangalore,Royal Challengers Bangalore,4,Jacques Kallis,4,0,36,0,9.00,4,2,1,0,0
172,Chennai Super Kings vs Royal Challengers Bangalore,Royal Challengers Bangalore,5,Balachandra Akhil,4,0,34,0,8.50,9,1,3,0,0
173,Chennai Super Kings vs Royal Challengers Bangalore,Chennai Super Kings,1,Jacob Oram,4,0,27,0,6.75,10,2,1,2,0
174,Chennai Super Kings vs Royal Challengers Bangalore,Chennai Super Kings,2,Manpreet Gony,4,0,34,3,8.50,10,4,1,0,0
175,Chennai Super Kings vs Royal Challengers Bangalore,Chennai Super Kings,3,Albie Morkel,4,0,38,1,9.50,6,2,2,3,0
176,Chennai Super Kings vs Royal Challengers Bangalore,Chennai Super Kings,4,Palani Amarnath,4,0,38,2,9.50,5,5,0,0,0
177,Chennai Super Kings vs Royal Challengers Bangalore,Chennai Super Kings,5,Joginder Sharma,3.4,0,27,2,7.36,5,1,1,1,0
178,Kolkata Knight Riders vs Mumbai Indians,Mumbai Indians,1,Shaun Pollock,4,0,27,2,6.75,11,3,1,0,0
179,Kolkata Knight Riders vs Mumbai Indians,Mumbai Indians,2,Ashish Nehra,1,0,9,0,9.00,3,2,0,0,0
180,Kolkata Knight Riders vs Mumbai Indians,Mumbai Indians,3,Dilhara Fernando,4,0,41,1,10.25,8,6,1,2,0
181,Kolkata Knight Riders vs Mumbai Indians,Mumbai Indians,4,Dhawal Kulkarni,3,0,15,0,5.00,9,1,0,1,0
182,Kolkata Knight Riders vs Mumbai Indians,Mumbai Indians,5,Dwayne Bravo,4,0,25,1,6.25,11,2,1,1,0
183,Kolkata Knight Riders vs Mumbai Indians,Mumbai Indians,6,Sanath Jayasuriya,4,1,14,3,3.50,14,1,0,1,0
184,Kolkata Knight Riders vs Mumbai Indians,Kolkata Knight Riders,1,Ajit Agarkar,4,0,23,1,5.75,13,2,0,3,1
185,Kolkata Knight Riders vs Mumbai Indians,Kolkata Knight Riders,2,Ishant Sharma,3.4,0,33,1,9.00,13,6,1,0,0
186,Kolkata Knight Riders vs Mumbai Indians,Kolkata Knight Riders,3,Ashok Dinda,4,0,12,1,3.00,16,1,0,0,0
187,Kolkata Knight Riders vs Mumbai Indians,Kolkata Knight Riders,4,Murali Kartik,3,0,24,0,8.00,9,3,1,1,0
188,Kolkata Knight Riders vs Mumbai Indians,Kolkata Knight Riders,5,Mohammad Hafeez,1,0,16,0,16.00,1,2,0,1,0
189,Kolkata Knight Riders vs Mumbai Indians,Kolkata Knight Riders,6,Sourav Ganguly,2,0,14,0,7.00,1,1,0,0,0
190,Kolkata Knight Riders vs Mumbai Indians,Kolkata Knight Riders,7,Laxmi Shukla,1,0,11,0,11.00,1,2,0,0,0
191,Delhi Daredevils vs Royal Challengers Bangalore,Royal Challengers Bangalore,1,Dale Steyn,4,0,29,1,7.25,10,3,0,1,1
192,Delhi Daredevils vs Royal Challengers Bangalore,Royal Challengers Bangalore,2,Zaheer Khan,4,0,42,1,10.50,9,7,1,0,0
193,Delhi Daredevils vs Royal Challengers Bangalore,Royal Challengers Bangalore,3,Praveen Kumar,4,0,24,0,6.00,7,2,0,0,0
194,Delhi Daredevils vs Royal Challengers Bangalore,Royal Challengers Bangalore,4,Vinay Kumar,2,0,25,0,12.50,1,4,0,0,0
195,Delhi Daredevils vs Royal Challengers Bangalore,Royal Challengers Bangalore,5,Jacques Kallis,4,0,39,2,9.75,6,3,2,0,0
196,Delhi Daredevils vs Royal Challengers Bangalore,Royal Challengers Bangalore,6,Virat Kohli,1,0,11,0,11.00,0,1,0,0,0
197,Delhi Daredevils vs Royal Challengers Bangalore,Royal Challengers Bangalore,7,Sunil Joshi,1,0,19,0,19.00,0,1,2,0,0
198,Delhi Daredevils vs Royal Challengers Bangalore,Delhi Daredevils,1,Glenn McGrath,4,0,29,4,7.25,10,3,1,0,0
199,Delhi Daredevils vs Royal Challengers Bangalore,Delhi Daredevils,2,Mohammad Asif,4,0,42,0,10.50,8,5,2,0,0
200,Delhi Daredevils vs Royal Challengers Bangalore,Delhi Daredevils,3,Yo Mahesh,4,0,28,0,7.00,8,3,0,0,1
201,Delhi Daredevils vs Royal Challengers Bangalore,Delhi Daredevils,4,Daniel Vettori,4,0,19,1,4.75,8,1,0,0,0
202,Delhi Daredevils vs Royal Challengers Bangalore,Delhi Daredevils,5,Rajat Bhatia,1,0,14,0,14.00,1,3,0,0,0
203,Delhi Daredevils vs Royal Challengers Bangalore,Delhi Daredevils,6,Shoaib Malik,1,0,8,0,8.00,3,0,1,0,0
204,Delhi Daredevils vs Royal Challengers Bangalore,Delhi Daredevils,7,Virender Sehwag,2,0,30,0,15.00,1,1,3,0,0
205,Rajasthan Royals vs Kolkata Knight Riders,Kolkata Knight Riders,1,Ashok Dinda,4,0,30,0,7.50,11,5,0,2,0
